"phi","n","blksize","CI","target","cov","LB","UB"
0.4,100,10,"bcaCI","sigma",0.8898,0.883461061816743,0.89583713539101
0.4,100,10,"propCI","sigma",0.8856,0.879161707952254,0.891739780143303
0.4,100,5,"stdCI","sigma",0.8943,0.888070634748668,0.900224032779111
0.4,100,5,"stuCI","sigma",0.9133,0.907573411207596,0.918706299882552
0.4,100,5,"pctCI","sigma",0.8815,0.874967301788365,0.887737395890594
0.4,100,5,"ctrCI","sigma",0.8959,0.889710405390582,0.901783006135115
0.4,100,5,"bcCI","sigma",0.8956,0.889402915187941,0.901490731880127
0.4,100,5,"bcaCI","sigma",0.8993,0.893196388594231,0.905094352042042
0.4,100,5,"propCI","sigma",0.8911,0.884792377141678,0.897104800793418
0.4,1600,12,"stdCI","sigma",0.9445,0.939787640266106,0.948867184967359
0.4,1600,12,"stuCI","sigma",0.9466,0.94196750858109,0.950885616004723
