"phi","n","blksize","CI","target","cov","LB","UB"
0,100,5,"bcCI","mu",0.9247,0.919311930782191,0.929758749871392
0,100,5,"bcaCI","mu",0.9261,0.920755753203096,0.931113814512622
0,100,5,"propCI","mu",0.9236,0.918177865174432,0.928693689259335
0,1600,12,"stdCI","mu",0.9479,0.943317893376994,0.952134175942345
0,1600,12,"stuCI","mu",0.9508,0.946333038689473,0.954916669012483
0,1600,12,"pctCI","mu",0.9461,0.941448324410347,0.950405205528881
0,1600,12,"ctrCI","mu",0.9463,0.941655985288156,0.95059738254341
0,1600,12,"bcCI","mu",0.9474,0.942798427119793,0.951654048306314
0,1600,12,"bcaCI","mu",0.9463,0.941655985288156,0.95059738254341
0,1600,12,"propCI","mu",0.947,0.94238293313502,0.951269866963641
0,1600,24,"stdCI","mu",0.9452,0.9405140589474,0.949540199931951
0,1600,24,"stuCI","mu",0.9496,0.945084919212975,0.953765767038407
0,1600,24,"pctCI","mu",0.9448,0.940098937951994,0.949155644621243
0,1600,24,"ctrCI","mu",0.9438,0.939061420843964,0.948193970236971
0,1600,24,"bcCI","mu",0.9442,0.939476379177459,0.948578688623185
0,1600,24,"bcaCI","mu",0.9439,0.93916515440938,0.948290155866628
0,1600,24,"propCI","mu",0.9443,0.939580128824469,0.948674858130711
0,200,12,"stdCI","mu",0.9279,0.92261288417261,0.932855251148916
0,200,12,"stuCI","mu",0.9459,0.94124068048243,0.950213011520003
0,200,12,"pctCI","mu",0.927,0.921684206298857,0.931984645432429
0,200,12,"ctrCI","mu",0.9241,0.918693310066586,0.92917784726598
0,200,12,"bcCI","mu",0.9269,0.921581033813457,0.931887897492422
0,200,12,"bcaCI","mu",0.9265,0.921168371516655,0.931500878035445
0,200,12,"propCI","mu",0.927,0.921684206298857,0.931984645432429
0,200,6,"stdCI","mu",0.9381,0.933154921213875,0.942705060431186
0,200,6,"stuCI","mu",0.9472,0.942590671402201,0.951461966383575
0,200,6,"pctCI","mu",0.9384,0.933465493460884,0.942994247270409
0,200,6,"ctrCI","mu",0.9353,0.930257733463508,0.940004493394168
0,200,6,"bcCI","mu",0.9389,0.933983184237045,0.943476154811103
0,200,6,"bcaCI","mu",0.9389,0.933983184237045,0.943476154811103
0,200,6,"propCI","mu",0.9382,0.93325844179659,0.942801459551817
0,3200,15,"stdCI","mu",0.9493,0.944772995074659,0.953477935514363
0,3200,15,"stuCI","mu",0.9504,0.945916922893283,0.954533111208841
0,3200,15,"pctCI","mu",0.9471,0.942486800093137,0.951365918854903
0,3200,15,"ctrCI","mu",0.9465,0.941863663204975,0.950789542474059
0,3200,15,"bcCI","mu",0.9471,0.942486800093137,0.951365918854903
0,3200,15,"bcaCI","mu",0.9469,0.942279070516263,0.951173810721432
0,3200,15,"propCI","mu",0.9471,0.942486800093137,0.951365918854903
0,3200,30,"stdCI","mu",0.9503,0.945812905893612,0.954437209774249
0,3200,30,"stuCI","mu",0.9524,0.947998282337788,0.956450117488542
0,3200,30,"pctCI","mu",0.9481,0.943525710915456,0.952326195876953
0,3200,30,"ctrCI","mu",0.9483,0.943733546333433,0.952518197883227
0,3200,30,"bcCI","mu",0.9488,0.94425321374584,0.952998123814779
0,3200,30,"bcaCI","mu",0.9483,0.943733546333433,0.952518197883227
0,3200,30,"propCI","mu",0.9481,0.943525710915456,0.952326195876953
0,400,15,"stdCI","mu",0.9369,0.93191294414381,0.941548000454316
0,400,15,"stuCI","mu",0.9479,0.943317893376994,0.952134175942345
0,400,15,"pctCI","mu",0.9352,0.930154310982767,0.939907995954818
0,400,15,"ctrCI","mu",0.9341,0.929016878193278,0.938846309163945
0,400,15,"bcCI","mu",0.9335,0.928396623958577,0.938267043280522
0,400,15,"bcaCI","mu",0.9341,0.929016878193278,0.938846309163945
0,400,15,"propCI","mu",0.9348,0.929740653721584,0.93952197346542
0,400,8,"stdCI","mu",0.939,0.93408673301928,0.943572525667916
0,400,8,"stuCI","mu",0.9444,0.939683882517269,0.9487710235822
0,400,8,"pctCI","mu",0.9374,0.932430374391237,0.942030169111147
0,400,8,"ctrCI","mu",0.9369,0.93191294414381,0.941548000454316
0,400,8,"bcCI","mu",0.9383,0.933361965876285,0.942897855167544
0,400,8,"bcaCI","mu",0.9361,0.931085231995624,0.940776353965781
0,400,8,"propCI","mu",0.9374,0.932430374391237,0.942030169111147
0,800,10,"stdCI","mu",0.9458,0.941136864847053,0.950116908170437
0,800,10,"stuCI","mu",0.9485,0.943941399728795,0.95271018186283
0,800,10,"pctCI","mu",0.9442,0.939476379177459,0.948578688623185
0,800,10,"ctrCI","mu",0.9437,0.938957691273778,0.948097780602061
0,800,10,"bcCI","mu",0.9433,0.938542812746415,0.947712982209688
0,800,10,"bcaCI","mu",0.9443,0.939580128824469,0.948674858130711
0,800,10,"propCI","mu",0.9451,0.94041027251552,0.949444067303186
0,800,19,"stdCI","mu",0.9398,0.934915252174811,0.944343363327333
0,800,19,"stuCI","mu",0.9488,0.94425321374584,0.952998123814779
0,800,19,"pctCI","mu",0.939,0.93408673301928,0.943572525667916
0,800,19,"ctrCI","mu",0.9378,0.932844380368836,0.942415842118954
0,800,19,"bcCI","mu",0.9399,0.935018833305983,0.944439701760339
0,800,19,"bcaCI","mu",0.941,0.936158467619992,0.945499182084118
0,800,19,"propCI","mu",0.9398,0.934915252174811,0.944343363327333
0.2,100,10,"stdCI","mu",0.9025,0.896479207259733,0.908209017095556
0.2,100,10,"stuCI","mu",0.9372,0.93222339204149,0.94183731192201
0.2,100,10,"pctCI","mu",0.9013,0.895247929935776,0.907041238322056
0.2,100,10,"ctrCI","mu",0.8943,0.888070634748668,0.900224032779111
0.2,100,10,"bcCI","mu",0.9001,0.894016917945298,0.905873193856114
0.2,100,10,"bcaCI","mu",0.9016,0.895555724223389,0.907333208092881
0.2,100,10,"propCI","mu",0.9017,0.895658326015954,0.907430527648115
0.2,100,5,"stdCI","mu",0.9097,0.903872697568093,0.915209855181888
0.2,100,5,"stuCI","mu",0.9251,0.919724397706335,0.93014596506421
0.2,100,5,"pctCI","mu",0.9081,0.902228808452123,0.913655005941472
0.2,100,5,"ctrCI","mu",0.9029,0.896889692748457,0.908598216890992
0.2,100,5,"bcCI","mu",0.9096,0.903769939058827,0.915112692566811
0.2,100,5,"bcaCI","mu",0.9106,0.904797617945094,0.916084224783229
0.2,100,5,"propCI","mu",0.9077,0.901817917751188,0.913266211933089
0.2,1600,12,"stdCI","mu",0.9407,0.935847613974296,0.945210277296831
0.2,1600,12,"stuCI","mu",0.9429,0.938127997352226,0.947328120527245
0.2,1600,12,"pctCI","mu",0.9383,0.933361965876285,0.942897855167544
0.2,1600,12,"ctrCI","mu",0.938,0.933051404120247,0.942608657813575
0.2,1600,12,"bcCI","mu",0.938,0.933051404120247,0.942608657813575
0.2,1600,12,"bcaCI","mu",0.9382,0.93325844179659,0.942801459551817
0.2,1600,12,"propCI","mu",0.9385,0.933569024558344,0.943090635852426
0.2,1600,24,"stdCI","mu",0.9412,0.936365722026615,0.945691766588441
0.2,1600,24,"stuCI","mu",0.9461,0.941448324410347,0.950405205528881
